tabla;id_registro;id_cliente;estado;columna_den
conceptos;443;1;A;desc_conc_tco
conceptos;280;1;A;desc_conc_tco
conceptos;210;1;A;desc_conc_tco
conceptos;289;1;A;desc_conc_tco
conceptos;290;1;A;desc_conc_tco
conceptos;152;1;A;desc_conc_tco
conceptos;153;1;A;desc_conc_tco
conceptos;154;1;A;desc_conc_tco
conceptos;716;1;A;desc_conc_tco
conceptos;715;1;A;desc_conc_tco
conceptos;714;1;A;desc_conc_tco
conceptos;712;1;A;desc_conc_tco
conceptos;711;1;A;desc_conc_tco
conceptos;182;1;A;desc_conc_tco
conceptos;710;1;A;desc_conc_tco
conceptos;424;1;A;desc_conc_tco
conceptos;713;1;A;desc_conc_tco
conceptos;701;1;A;desc_conc_tco
conceptos;706;1;A;desc_conc_tco
conceptos;707;1;A;desc_conc_tco
conceptos;708;1;A;desc_conc_tco
conceptos;709;1;A;desc_conc_tco
conceptos;181;1;A;desc_conc_tco
conceptos;719;1;A;desc_conc_tco
conceptos;202;1;A;desc_conc_tco
conceptos;718;1;A;desc_conc_tco
conceptos;183;1;A;desc_conc_tco
condicion_laborales;1;1;A;desc_cond_lab
condicion_laborales;2;1;A;desc_cond_lab
condicion_laborales;3;1;A;desc_cond_lab
nivel_educativos;3;1;A;desc_nive_ned
nivel_educativos;4;1;A;desc_nive_ned
nivel_educativos;5;1;A;desc_nive_ned
nivel_educativos;6;1;A;desc_nive_ned
nivel_educativos;7;1;A;desc_nive_ned
nivel_educativos;8;1;A;desc_nive_ned
nivel_educativos;9;1;A;desc_nive_ned
nivel_educativos;10;1;A;desc_nive_ned
nivel_educativos;11;1;A;desc_nive_ned
nivel_educativos;12;1;A;desc_nive_ned
nivel_educativos;18;1;A;desc_nive_ned
nivel_educativos;19;1;A;desc_nive_ned
nivel_educativos;20;1;A;desc_nive_ned
nivel_educativos;21;1;A;desc_nive_ned
nivel_educativos;13;1;A;desc_nive_ned
nivel_educativos;14;1;A;desc_nive_ned
nivel_educativos;15;1;A;desc_nive_ned
nivel_educativos;16;1;A;desc_nive_ned
nivel_educativos;17;1;A;desc_nive_ned
nivel_educativos;1;1;A;desc_nive_ned
nivel_educativos;2;1;A;desc_nive_ned
regimen_pensionarios;1;1;A;nomb_regimen
regimen_pensionarios;2;1;A;nomb_regimen
regimen_pensionarios;3;1;A;nomb_regimen
regimen_pensionarios;4;1;A;nomb_regimen
tafps;1;1;A;nomb_afp
tafps;2;1;A;nomb_afp
tafps;3;1;A;nomb_afp
tafps;4;1;A;nomb_afp
tafps;5;1;A;nomb_afp
tafps;6;1;A;nomb_afp
tbancos;16;1;A;nomb_banc_tbc
tbancos;17;1;A;nomb_banc_tbc
tbancos;18;1;A;nomb_banc_tbc
tbancos;19;1;A;nomb_banc_tbc
tbancos;20;1;A;nomb_banc_tbc
tbancos;21;1;A;nomb_banc_tbc
tbancos;22;1;A;nomb_banc_tbc
tbancos;23;1;A;nomb_banc_tbc
tbancos;24;1;A;nomb_banc_tbc
tbancos;25;1;A;nomb_banc_tbc
tbancos;26;1;A;nomb_banc_tbc
tbancos;27;1;A;nomb_banc_tbc
tbancos;28;1;A;nomb_banc_tbc
tbancos;29;1;A;nomb_banc_tbc
tbancos;30;1;A;nomb_banc_tbc
tbancos;31;1;A;nomb_banc_tbc
tbancos;32;1;A;nomb_banc_tbc
tbancos;33;1;A;nomb_banc_tbc
tbancos;34;1;A;nomb_banc_tbc
tbancos;35;1;A;nomb_banc_tbc
tbancos;36;1;A;nomb_banc_tbc
tbancos;37;1;A;nomb_banc_tbc
tbancos;38;1;A;nomb_banc_tbc
tbancos;39;1;A;nomb_banc_tbc
tbancos;40;1;A;nomb_banc_tbc
tbancos;1;1;A;nomb_banc_tbc
tbancos;2;1;A;nomb_banc_tbc
tbancos;3;1;A;nomb_banc_tbc
tbancos;4;1;A;nomb_banc_tbc
tbancos;5;1;A;nomb_banc_tbc
tbancos;6;1;A;nomb_banc_tbc
tbancos;7;1;A;nomb_banc_tbc
tbancos;8;1;A;nomb_banc_tbc
tbancos;9;1;A;nomb_banc_tbc
tbancos;10;1;A;nomb_banc_tbc
tbancos;11;1;A;nomb_banc_tbc
tbancos;12;1;A;nomb_banc_tbc
tbancos;13;1;A;nomb_banc_tbc
tbancos;14;1;A;nomb_banc_tbc
tbancos;15;1;A;nomb_banc_tbc
tcargos;1;1;A;desc_carg_tca
tcargos;2;1;A;desc_carg_tca
tcargos;3;1;A;desc_carg_tca
tcargos;4;1;A;desc_carg_tca
tcargos;5;1;A;desc_carg_tca
tcargos;6;1;A;desc_carg_tca
tcargos;7;1;A;desc_carg_tca
tcargos;8;1;A;desc_carg_tca
tcargos;9;1;A;desc_carg_tca
tcargos;10;1;A;desc_carg_tca
tcargos;11;1;A;desc_carg_tca
tcargos;12;1;A;desc_carg_tca
tcargos;13;1;A;desc_carg_tca
tcargos;14;1;A;desc_carg_tca
tcargos;15;1;A;desc_carg_tca
tcargos;16;1;A;desc_carg_tca
tcargos;17;1;A;desc_carg_tca
tcargos;18;1;A;desc_carg_tca
tcargos;19;1;A;desc_carg_tca
tcargos;20;1;A;desc_carg_tca
tcargos;21;1;A;desc_carg_tca
tcargos;22;1;A;desc_carg_tca
tcargos;23;1;A;desc_carg_tca
tcargos;24;1;A;desc_carg_tca
tcargos;25;1;A;desc_carg_tca
tcargos;26;1;A;desc_carg_tca
tcargos;27;1;A;desc_carg_tca
tcargos;28;1;A;desc_carg_tca
tcargos;29;1;A;desc_carg_tca
tcargos;30;1;A;desc_carg_tca
tcargos;31;1;A;desc_carg_tca
tcargos;32;1;A;desc_carg_tca
tcargos;33;1;A;desc_carg_tca
tcargos;34;1;A;desc_carg_tca
tcargos;35;1;A;desc_carg_tca
tcargos;36;1;A;desc_carg_tca
tcargos;37;1;A;desc_carg_tca
tcargos;38;1;A;desc_carg_tca
tcargos;39;1;A;desc_carg_tca
tcargos;40;1;A;desc_carg_tca
tcargos;41;1;A;desc_carg_tca
tcargos;42;1;A;desc_carg_tca
tcargos;43;1;A;desc_carg_tca
tcargos;44;1;A;desc_carg_tca
tcargos;45;1;A;desc_carg_tca
tcargos;46;1;A;desc_carg_tca
tcargos;47;1;A;desc_carg_tca
tcargos;48;1;A;desc_carg_tca
tcargos;49;1;A;desc_carg_tca
tcargos;50;1;A;desc_carg_tca
tcargos;51;1;A;desc_carg_tca
tcargos;52;1;A;desc_carg_tca
tcargos;53;1;A;desc_carg_tca
tcargos;54;1;A;desc_carg_tca
tcargos;55;1;A;desc_carg_tca
tcargos;56;1;A;desc_carg_tca
tcargos;57;1;A;desc_carg_tca
tcargos;58;1;A;desc_carg_tca
tcargos;59;1;A;desc_carg_tca
tcargos;60;1;A;desc_carg_tca
tcargos;61;1;A;desc_carg_tca
tcargos;62;1;A;desc_carg_tca
tcargos;63;1;A;desc_carg_tca
tcargos;64;1;A;desc_carg_tca
tcargos;65;1;A;desc_carg_tca
tcargos;66;1;A;desc_carg_tca
tcargos;67;1;A;desc_carg_tca
tcargos;68;1;A;desc_carg_tca
tcargos;69;1;A;desc_carg_tca
tcargos;70;1;A;desc_carg_tca
tcargos;71;1;A;desc_carg_tca
tcargos;72;1;A;desc_carg_tca
tcargos;73;1;A;desc_carg_tca
tcargos;74;1;A;desc_carg_tca
tcargos;75;1;A;desc_carg_tca
tcargos;76;1;A;desc_carg_tca
tcargos;77;1;A;desc_carg_tca
tcargos;78;1;A;desc_carg_tca
tcargos;79;1;A;desc_carg_tca
tcargos;80;1;A;desc_carg_tca
tcargos;81;1;A;desc_carg_tca
tcargos;82;1;A;desc_carg_tca
tcargos;83;1;A;desc_carg_tca
tcargos;84;1;A;desc_carg_tca
tcargos;85;1;A;desc_carg_tca
